name,img_src,weight,price
Royal Canin Feline Renal Liquide,https://www.petsonic.com/27054-large_default/royal-canin-feline-renal-liquide.jpg,3x200,21.55 €
vetplus Coatex 240 comprimidos,https://www.petsonic.com/14226-large_default/vetplus-coatex-para-perros-gatos.jpg,60 Comprimidos,14.94 €
vetplus Coatex 240 comprimidos,https://www.petsonic.com/14226-large_default/vetplus-coatex-para-perros-gatos.jpg,240 Comprimidos,53.28 €
farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg,60 Comprimidos,18.11 €
farmadiet Oleoderm Capsulas Dermatologicas para Perro y Gato,https://www.petsonic.com/26369-large_default/virbac-oleoderm-pipetas-dermatologicas-para-perros.jpg,360 Comprimidos,94.44 €
Menforsan Suplemento nutricional relajacion perros y gatos,https://www.petsonic.com/28228-large_default/menforsan-suplemento-nutricional-relajacion-perros-y-gatos.jpg,120 ml,12.38 €
Brit care aceite de salmon perros y gatos,https://www.petsonic.com/28593-large_default/brit-care-aceite-de-salmon-perros-y-gatos.jpg,250 ml,9.85 €
Brit care aceite de salmon perros y gatos,https://www.petsonic.com/28593-large_default/brit-care-aceite-de-salmon-perros-y-gatos.jpg,1L,17.96 €
Menforsan Suplemento nutricional alergias perros y gatos,https://www.petsonic.com/28224-large_default/menforsan-suplemento-nutricional-alergias-perros-y-gatos.jpg,120 ml,12.38 €
Bayer Calcio con Vitamina D3 para Perros y Gatos,https://www.petsonic.com/26173-large_default/bayer-calcio-vitamina-d3-gatos-para-perros-gatos.jpg,60 Comprimidos,9.07 €
Menforsan Suplemento nutricional sistema inmunológico perros y gatos,https://www.petsonic.com/28226-large_default/menforsan-suplemento-nutricional-sistema-inmunologico-perros-y-gatos.jpg,120 ml,12.38 €
Menforsan Suplemento nutricional articulaciones perros y gatos,https://www.petsonic.com/28225-large_default/menforsan-suplemento-nutricional-articulaciones-perros-y-gatos.jpg,120 ml,12.38 €
Menforsan Suplemento nutricional intestinal perros y gatos,https://www.petsonic.com/28227-large_default/menforsan-suplemento-nutricional-intestinal-perros-y-gatos.jpg,120 ml,12.38 €
virbac Nutriplus Gel 120gr,https://www.petsonic.com/14231-large_default/virbac-nutriplus-gel-120gr-para-perros-gatos.jpg,120 gr,14.75 €
virbac Allerdem Pipetas Dermatologicas,https://www.petsonic.com/14204-large_default/virbac-allerdem-pipetas-dermatologicas-para-perros-gatos.jpg,6 Pipetas - 2 ml,18.74 €
virbac Allerdem Pipetas Dermatologicas,https://www.petsonic.com/14204-large_default/virbac-allerdem-pipetas-dermatologicas-para-perros-gatos.jpg,6 Pipetas - 4 ml,23.42 €
Bioiberica CALMUROFEL,https://www.petsonic.com/16826-large_default/bioiberica-calmurofel-para-gatos.jpg,30,10.34 €
Bioiberica CALMUROFEL,https://www.petsonic.com/16826-large_default/bioiberica-calmurofel-para-gatos.jpg,120,34.19 €
